category,eng,esp,deu,sve,cat
humans_family,mom,mamá,mama,mamma,mamà
humans_family,dad,papá,papa,pappa,papà
humans_family,brother,hermano,bruder,bror,germà
humans_family,sister,hermana,schwester,syster,germana
humans_family,boy,chico,junge,pojke,noi
humans_family,girl,chica,mädchen,flicka,noia
humans_family,man,hombre,mann,man,home
humans_family,woman,mujer,frau,kvinna,dona
humans_family,son,hijo,sohn,son,fill
humans_family,daughter,hija,tochter,dotter,filla
humans_family,grandfather,abuelo,großvater,farfar,avi
humans_family,grandmother,abuela,großmutter,farmor,àvia
humans_family,grandson,nieto,enkel,sonson,nét
humans_family,granddaughter,nieta,enkelin,sondotter,néta
humans_family,uncle,tío,onkel,farbror,oncle
humans_family,aunt,tía,tante,faster,tia
humans_family,cousin,primo,cousin,kusin,cosí
humans_family,nephew,sobrino,neffe,brorson,nebot
humans_family,niece,sobrina,nichte,brorsdotter,neboda
humans_family,husband,esposo,ehemann,make,marit
humans_family,wife,esposa,ehefrau,fru,esposa
humans_family,girlfriend,novia,freundin,flickvän,nòvia
humans_family,boyfriend,novio,freund,pojkvän,nòvio
humans_family,king,rey,könig,kung,rei
humans_family,queen,reina,königin,drottning,reina
humans_family,boss,jefe,chef,chef,cap
humans_family,god,dios,gott,gud,déu
humans_family,angel,ángel,engel,ängel,àngel
humans_family,enemy,enemigo,feind,fiende,enemic
emotions_feelings,love,amor,liebe,kärlek,amor
emotions_feelings,hate,odio,hass,hat,odi
emotions_feelings,happy,feliz,glücklich,glad,feliç
emotions_feelings,sad,triste,traurig,ledsen,trist
emotions_feelings,smile,sonrisa,lächeln,leende,somriure
emotions_feelings,cry,llorar,weinen,gråta,plorar
emotions_feelings,tears,lágrimas,tränen,tårar,llàgrimes
emotions_feelings,joy,alegría,freude,glädje,alegria
emotions_feelings,pain,dolor,schmerz,smärta,dolor
emotions_feelings,fear,miedo,angst,rädsla,por
emotions_feelings,anger,ira,wut,ilska,ira
emotions_feelings,crazy,loco,verrückt,galen,boig
emotions_feelings,angry,enojado,wütend,arg,enfadat
emotions_feelings,kiss,beso,kuss,kyss,petó
emotions_feelings,hug,abrazo,umarmung,kram,abraçada
emotions_feelings,surprise,sorpresa,überraschung,överraskning,sorpresa
emotions_feelings,disgust,asco,ekel,avsky,fàstic
emotions_feelings,boredom,aburrimiento,langeweile,uttråkning,avorriment
emotions_feelings,laugh,reír,lachen,skratta,riure
emotions_feelings,scream,gritar,schreien,skrika,cridar
emotions_feelings,passion,pasión,leidenschaft,passion,passió
emotions_feelings,madness,locura,wahnsinn,galenskap,bogeria
emotions_feelings,jealousy,celos,eifersucht,svartsjuka,gelosia
emotions_feelings,peace,paz,frieden,fred,pau
emotions_feelings,guilt,culpa,schuld,skuld,culpa
emotions_feelings,pride,orgullo,stolz,stolthet,orgull
emotions_feelings,sorrow,pena,kummer,sorg,pena
emotions_feelings,luck,suerte,glück,tur,sort
emotions_feelings,desire,deseo,verlangen,begär,desig
emotions_feelings,faith,fe,glaube,tro,fe
places_locations,house,casa,haus,hus,casa
places_locations,street,calle,straße,gata,carrer
places_locations,city,ciudad,stadt,stad,ciutat
places_locations,world,mundo,welt,värld,món
places_locations,bed,cama,bett,säng,llit
places_locations,room,habitación,zimmer,rum,habitació
places_locations,bar,bar,bar,bar,bar
places_locations,club,club,club,klubb,club
places_locations,beach,playa,strand,strand,platja
places_locations,neighborhood,barrio,nachbarschaft,grannskap,barri
places_locations,town,pueblo,stadt,stad,poble
places_locations,country,país,land,land,país
places_locations,heaven,cielo,himmel,himmel,cel
places_locations,hell,infierno,hölle,helvete,infern
places_locations,disco,discoteca,disco,disko,discoteca
places_locations,hotel,hotel,hotel,hotell,hotel
places_locations,school,escuela,schule,skola,escola
places_locations,jail,cárcel,gefängnis,fängelse,presó
places_locations,hospital,hospital,krankenhaus,sjukhus,hospital
places_locations,church,iglesia,kirche,kyrka,església
places_locations,corner,esquina,ecke,hörn,cantonada
transport,car,coche,auto,bil,cotxe
transport,train,tren,zug,tåg,tren
transport,plane,avión,flugzeug,flygplan,avió
transport,ship,barco,schiff,fartyg,vaixell
transport,boat,bote,boot,båt,barca
transport,truck,camión,lkw,lastbil,camió
transport,bicycle,bicicleta,fahrrad,cykel,bicicleta
transport,flight,vuelo,flug,flyg,vol
transport,bus,autobús,bus,buss,autobús
transport,taxi,taxi,taxi,taxi,taxi
transport,subway,metro,u-bahn,tunnelbana,metro
transport,motorcycle,moto,motorrad,motorcykel,moto
transport,tram,tranvía,straßenbahn,spårvagn,tramvia
transport,helicopter,helicóptero,hubschrauber,helikopter,helicòpter
transport,van,furgoneta,transporter,skåpbil,furgoneta
transport,ambulance,ambulancia,krankenwagen,ambulans,ambulància
transport,tractor,tractor,traktor,traktor,tractor
transport,scooter,patinete,roller,sparkcykel,patinet
transport,yacht,yate,yacht,yacht,iot
transport,submarine,submarino,u-boot,ubåt,submarí
transport,spaceship,nave,raumschiff,rymdskepp,nau espacial
transport,rocket,cohete,rakete,raket,coet
time_seasons,monday,lunes,montag,måndag,dilluns
time_seasons,tuesday,martes,dienstag,tisdag,dimarts
time_seasons,wednesday,miércoles,mittwoch,onsdag,dimecres
time_seasons,thursday,jueves,donnerstag,torsdag,dijous
time_seasons,friday,viernes,freitag,fredag,divendres
time_seasons,saturday,sábado,samstag,lördag,dissabte
time_seasons,sunday,domingo,sonntag,söndag,diumenge
time_seasons,january,enero,januar,januari,gener
time_seasons,february,febrero,februar,februari,febrer
time_seasons,march,marzo,märz,mars,març
time_seasons,april,abril,april,april,abril
time_seasons,may,mayo,mai,maj,maig
time_seasons,june,junio,juni,juni,juny
time_seasons,july,julio,juli,juli,juliol
time_seasons,august,agosto,august,augusti,agost
time_seasons,september,septiembre,september,september,setembre
time_seasons,october,octubre,oktober,oktober,octubre
time_seasons,november,noviembre,november,november,novembre
time_seasons,december,diciembre,dezember,december,desembre
time_seasons,summer,verano,sommer,sommar,estiu
time_seasons,winter,invierno,winter,vinter,hivern
time_seasons,spring,primavera,frühling,vår,primavera
time_seasons,autumn,otoño,herbst,höst,tardor
time_seasons,year,año,jahr,år,any
time_seasons,month,mes,monat,månad,mes
time_seasons,week,semana,woche,vecka,setmana
time_seasons,day,día,tag,dag,dia
time_seasons,hour,hora,stunde,timme,hora
time_seasons,minute,minuto,minute,minut,minut
time_seasons,second,segundo,sekunde,sekund,segon
time_seasons,dawn,madrugada,morgengrauen,gryning,matinada
time_seasons,morning,mañana,morgen,morgon,matí
time_seasons,afternoon,tarde,nachmittag,eftermiddag,tarda
time_seasons,night,noche,nacht,natt,nit
time_seasons,midnight,medianoche,mitternacht,midnatt,mitjanit
time_seasons,century,siglo,jahrhundert,århundrade,segle
time_seasons,decade,década,jahrzehnt,årtionde,dècada
time_seasons,yesterday,ayer,gestern,igår,ahir
time_seasons,today,hoy,heute,idag,avui
time_seasons,tomorrow,mañana,morgen,imorgon,demà
time_seasons,always,siempre,immer,alltid,sempre
time_seasons,never,nunca,nie,aldrig,mai
time_seasons,early,temprano,früh,tidigt,d'hora
time_seasons,soon,pronto,bald,snart,aviat
clothes,shoes,zapatos,schuhe,skor,sabates
clothes,dress,vestido,kleid,klänning,vestit
clothes,shirt,camisa,hemd,skjorta,camisa
clothes,jeans,vaqueros,jeans,jeans,texans
clothes,jacket,chaqueta,jacke,jacka,jaqueta
clothes,coat,abrigo,mantel,rock,abric
clothes,hat,sombrero,hut,hatt,barret
clothes,boots,botas,stiefel,stövlar,botes
clothes,suit,traje,anzug,kostym,vestit
clothes,pants,pantalones,hose,byxor,pantalons
clothes,skirt,falda,rock,kjol,faldilla
clothes,blouse,blusa,bluse,blus,brusa
clothes,sweater,jersey,pullover,tröja,jersei
clothes,socks,calcetines,socken,strumpor,mitjons
clothes,scarf,bufanda,schal,halsduk,bufanda
clothes,gloves,guantes,handschuhe,handskar,guants
clothes,belt,cinturón,gürtel,bälte,cinturó
clothes,tie,corbata,krawatte,slips,corbata
clothes,pajamas,pijama,schlafanzug,pyjamas,pijama
clothes,swimsuit,bañador,badeanzug,baddräkt,banyador
clothes,sneakers,zapatillas,turnschuhe,sneakers,sabatilles
clothes,glasses,gafas,brille,glasögon,ulleres
clothes,ring,anillo,ring,ring,anell
clothes,necklace,collar,halskette,halsband,collaret
clothes,bag,bolso,tasche,väska,bossa
clothes,watch,reloj,uhr,klocka,rellotge
clothes,chain,cadena,kette,kedja,cadena
clothes,jewel,joya,juwel,juvel,joia
directions,up,arriba,oben,upp,dalt
directions,down,abajo,unten,ner,baix
directions,left,izquierda,links,vänster,esquerra
directions,right,derecha,rechts,höger,dreta
directions,north,norte,norden,norr,nord
directions,south,sur,süden,söder,sud
directions,west,oeste,westen,väster,oest
directions,east,este,osten,öster,est
directions,high,alto,hoch,hög,alt
directions,low,bajo,niedrig,låg,baix
directions,center,centro,mitte,mitten,centre
directions,inside,dentro,innen,inne,dins
directions,outside,fuera,außen,ute,fora
directions,forward,adelante,vorwärts,framåt,endavant
directions,backward,atrás,rückwärts,bakåt,enrere
directions,near,cerca,nah,nära,a prop
directions,far,lejos,fern,långt,lluny
directions,front,frente,vorne,fram,davant
directions,back,fondo,hinten,bak,darrere
directions,above,encima,über,ovanför,sobre
directions,below,debajo,unter,under,sota
swear_words,fuck,joder,ficken,fan,joder
swear_words,shit,mierda,scheiße,skit,merda
swear_words,bitch,perra,schlampe,fitta,puta
swear_words,damn,maldición,verdammt,jävlar,maleït
swear_words,hell,infierno,hölle,helvete,infern
swear_words,ass,culo,arsch,röv,cul
swear_words,bastard,bastardo,bastard,jävel,bastard
swear_words,trash,basura,müll,skräp,brossa
swear_words,dick,polla,schwanz,kuk,polla
swear_words,cunt,coño,fotze,fitta,cony
swear_words,slut,zorra,nutte,slampa,bagassa
swear_words,whore,puta,hure,hora,puta
swear_words,jerk,capullo,wichser,skitstövel,capullo
swear_words,dumbass,pendejo,vollidiot,pucko,ximple
swear_words,asshole,gilipollas,arschloch,arsle,gilipolles
swear_words,motherfucker,cabrón,mistkerl,svin,cabró
